Charge Identifier,CDM Description, 2019 Price ,,,
56145,IMPLANT K-WIRE W/TROCAR POINT 2.5MM X 150MM 292.26, $35.00 ,,,
56310,IMPLANT CLIP FILSHIE AVM-851 (BX/20 PRS), $317.00 ,,,
58591,"CATHETER DRAINAGE MULTIPURPOSE 14.0FR .038"" 25CM 6S ULT14.0-38-25-P-6S-CLM-RH  G09504", $264.00 ,,,
60867,GUIDEWIRE WHOLEY HI-TORQUE PLUS .035 X 300CM EXCHANGE LENGTH 1002702-02, $400.00 ,,,
63483,CUTTER LINEAR 45 DEG ARTIC ENDO ATS45, $658.00 ,,,
67253,"GUIDEWIRE COPE NT .018"" X 60CM PMG-18SP-60-COPE-NT G08427", $123.00 ,,,
67879,"IMPLANT MESH 3D MAX MED LFT 8.5CM X 13.7CM (3"" X 5) 0115310 (1/CS)", $390.00 ,,,
67880,"IMPLANT MESH 3D MAX LGE LFT 10.8CM X 16.0CM (4"" X 6"") 0115311 (1/CS)", $426.00 ,,,
67881,"IMPLANT MESH 3D MAX MED RT 8.5CM X 13.7CM (3"" X 5) 0115320 (1/CS)", $390.00 ,,,
67882,"IMPLANT MESH 3D MAX LGE RT 10.8CM X 16.0CM (4"" X 6"") 0115321 (1/CS)", $426.00 ,,,
70671,"INTRODUCER TAUT DISP 3-1/2"" PI-93", $80.00 ,,,
73348,IMPLANT PENILE LINE ACCESSORY KIT 72401850," $2,361.00 ",,,
73407,IMPLANT KNEE ARCOM PATELLA W/WIRE 1-PEG 34MM 11-150828," $1,032.00 ",,,
74462,GUIDEWIRE NITINOL .018 X 180CM N181805, $280.00 ,,,
75970,"DRAIN ROUND LGE 19FR 1/4"" OD X 49"" L W/10"" HOLE PATTERN SILICONE X-RAY OPAQUE STRIPS STRL SNGL USE 0070230", $12.00 ,,,
76527,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 46MM 11-165216," $2,178.00 ",,,
76529,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 50MM 11-165224," $2,178.00 ",,,
77137,IMPLANT PUTTY ALLOMATRIX BONE 5ML HUMAN TISSUE 8600-0500," $2,373.00 ",,,
77138,IMPLANT PUTTY ALLOMATRIX BONE 10ML HUMAN TISSUE 8600-1000," $3,612.00 ",,,
81956,CATHETER BALLOON COLONIC 7.5FR 12-13.5-15MM X 240CM 5848/M00558480, $640.00 ,,,
81960,CATHETER BALLOON COLONIC 7.5FR 10-11-12MM X 240CM 5847/M00558470, $640.00 ,,,
82629,INTRODUCER SHEATH 10FR X 12CM (ORDER IN 10'S) CL-0779OR 406120, $69.00 ,,,
92189,"DRAIN FLAT HUBLESS 7MM 20CM 3/4"" LENGTH PERFORATED SILICONE X-RAY OPAQUE STRIPS  SNGL USE 0070360", $14.00 ,,,
97234,CATHETER INFUSION UNIFUSE 5FR X 45CM X 10CM (BX/1) 12401802, $435.00 ,,,
102676,IMPLANT LEAD ATRIAL/VENTRICLE 52CM CAPSURE FIX NOVUS 5076-52," $1,275.00 ",,,
102973,CATHETER EMBOLECTOMY FOGARTY TRU-LUMEN LTX 5.5FR X 80CM 12TLW805F35, $267.00 ,,,
108433,CATHETER H/S 5FR X 40CM 660005040, $99.00 ,,,
109779,IMPLANT LEAD ATRIAL/VENTRICLE 58CM CAPSURE FIX NOVUS 5076-58," $1,275.00 ",,,
113811,IMPLANT PUTTY DBX 5.0ML DEMINERALIZED MATRIX FREEZE DRIED  HUMAN TISSUE 038050," $2,430.00 ",,,
120130,CATHETER DRAINAGE TOTAL ABSCESSION 12.0FR X 30CM 14000805, $255.00 ,,,
122815,"CATHETER INTRODUCER GUIDE VISTA BRITE 8FR X 55CM ST 0.088"" 403-8553S", $255.00 ,,,
122816,INTRODUCER SHEATH BRITE TIP 7FR 5.5CM (ORDER IN 5'S) 401-705M, $45.00 ,,,
127752,IMPLANT SCREW CANN SHORT THRD 4.0MM X 30MM 207.630, $611.00 ,,,
128604,CATHETER INTRODUCER GUIDE VISTA BRITE TIP H1 95CM 588-8202, $165.00 ,,,
129550,IMPLANT CABLE W/CRIMP STRL 1.7MM X 750MM 298.801.01S," $1,543.00 ",,,
132068,CATHETER INFUSION UNIFUSE 5FR X 45CM X 20CM (BX/1) 12401804, $435.00 ,,,
133451,IMPLANT LEAD ATRIAL/VENTRICLE 45CM CAPSURE FIX NOVUS 5076-45," $1,275.00 ",,,
134185,"CATHETER GLIDE ANG 4FR .038"" X 65CM CG415", $146.00 ,,,
136011,GUIDEWIRE BALLOON 6-8MM 240CM 18-24FR 5845, $640.00 ,,,
137500,IMPLANT HIP HEAD C TAPER 26MM 06-2605," $1,485.00 ",,,
137503,IMPLANT HIP UNIV HEAD BIPOLAR UHR 47MM X 26MM UH1-47-26," $1,815.00 ",,,
138097,IMPLANT SCREW CANN CONICAL LOCKING 5.0MM X 75MM 02.205.275, $536.00 ,,,
138108,IMPLANT SCREW CANN CONICAL LOCKING 5.0MM X 90MM 02.205.290, $536.00 ,,,
142835,CATHETER MAHURKAR DBL LUMEN CVD 11.5FR 16CM SHORT TERM DIALYSIS 8830415003, $198.00 ,,,
148514,"CATHETER DRAINAGE GORDON 18FR .038"" X 40CM LGE BORE CVD STD ULT18.0-38-40-P-6S-MPA-GLD-HC G12510", $230.00 ,,,
150327,"INTRODUCER MICROPUNCTURE 5FR 10CM 0.018"" STIFF NITINOL WIRE GUIDE W/PLATINUM TIP MPIS-501-10.0-SC-NT-SST G48007", $132.00 ,,,
150331,CATHETER DRAINAGE PLEURAL PLEURX DENVER 50-7000B," $1,646.00 ",,,
154813,"INTRODUCER SHEATH PINNACLE 8FR X 10CM W/.038"" GW RSS802", $26.00 ,,,
155209,SNARE CAPTIVATOR POLYPECTOMY DIS OV JUMB OLYM 6131/M00561311, $45.00 ,,,
155775,INTRODUCER SHEATH PINNACLE 6FR X 10CM W/.038 GW RSS602, $26.00 ,,,
158069,IMPLANT STENT URETERAL AMPLATZ 10.2FR X 22CM UTSSW-10.2-22-AMP-RH G09712, $412.00 ,,,
158513,CATHETER BALLOON VIATRAC PLUS 5.0MM X 15MM X 80CM 10081984-15, $540.00 ,,,
159775,GUIDEWIRE PLATINUM PLUS .018 X 260CM 46-605, $249.00 ,,,
160524,"IMPLANT SUTURE FIBERWIRE #2 (ORDER IN 12'S) 38"" TPR 26.5MM 1/2 CIRCLE NDL AR-7200", $66.00 ,,,
160765,"CATHETER DRAINAGE BILIARY 8.5FR .038"" 40CM ULT8.5-38-40-P-32S-CLB-RH G09497", $277.00 ,,,
160947,IMPLANT BLADE SAW SPIRAL 50MM 462.650," $1,676.00 ",,,
161714,"CATHETER KIT CENTRAL VEIN TRPL LUMEN 0.032"" 20CM 7FR X 8"" PRESSURE INJECTABLE W/ARROWGARD BLUE PLUS FLEX TIP CATH CDC-45703-XP1A", $346.00 ,,,
163822,"GUIDEWIRE MICRO SYNCHRO PRECISION VASCULAR 0.014"" X 35CM X 200CM M00313010"," $1,638.00 ",,,
165704,IMPLANT MONOTUBE TRIAX 15MM X 200MM 5150-9-960," $5,002.00 ",,,
166156,"IMPLANT COIL EMBOLI TORNADO .018"" X 6/2MM MWCE-18S-6/2-TORNADO G08259", $330.00 ,,,
166657,"CATHETER DRAINAGE MULTIPURPOSE 12.0FR .038"" 45CM 6S ULT12.0-38-45-P-6S-CLM-RH", $278.00 ,,,
166664,GUIDEWIRE DRILL TIP 2.5MM X 200MM #310.243, $207.00 ,,,
168231,INTRODUCER ACCUSTICK SYSTEM .038J 20-702, $231.00 ,,,
169056,WIRE BREAST LOCALIZATION BEADED GHIATAS 5CM 20GA 47520, $51.00 ,,,
169058,WIRE BREAST LOCALIZATION BEADED GHIATAS 7CM 20GA 47720, $51.00 ,,,
169059,WIRE BREAST LOCALIZATION BEADED GHIATAS 9CM 20GA 47920, $51.00 ,,,
169227,"GUIDEWIRE AMPLATZ SS .035"" 1MM X 260CM 46-509/M001465091", $159.00 ,,,
171601,IMPLANT KNEE 32MM PATELLAR OVAL DOME 96-0100," $1,050.00 ",,,
172418,INTRODUCER SHEATH FLEXOR CHECK-FLO 8.0FR X 40CM KCFW-8.0-38-40.RB-BLKN, $203.00 ,,,
172481,IMPLANT KNEE TIB TRAY COCR FINNED 75MM 141234," $2,412.00 ",,,
172863,IMPLANT PLATE LCP 8 HOLES 3.5MM X 111MM 223.581," $1,058.00 ",,,
172865,IMPLANT PLATE LCP 10 HOLES 3.5MM X 137MM 223.601," $1,135.00 ",,,
172874,IMPLANT PLATE LCP RECONSTRUCTION 6-HOLE 3.5MM X 84MM 245.061," $1,548.00 ",,,
172973,IMPLANT PLATE LCP ONE-THIRD TUBULAR W/COLLAR 57MM 5 HOLES #241.351, $525.00 ,,,
172975,IMPLANT PLATE LCP 1/3 TUBULAR W/COLLAR 69MM 6 HOLES 241.361, $525.00 ,,,
172976,IMPLANT PLATE LCP ONE-THIRD TUBULAR W/COLLAR 81MM 7 HOLES 241.371, $534.00 ,,,
172995,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 12MM 212.102, $392.00 ,,,
172999,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 14MM 212.103, $392.00 ,,,
173010,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 16MM 212.104, $392.00 ,,,
173011,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 18MM 212.105, $392.00 ,,,
173014,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 20MM 212.106, $392.00 ,,,
173016,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 22MM 212.107, $392.00 ,,,
173017,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 24MM 212.108, $392.00 ,,,
173019,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 26MM 212.109, $392.00 ,,,
173022,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 28MM 212.110, $392.00 ,,,
173024,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 30MM 212.111, $392.00 ,,,
173080,IMPLANT SCREW 3.00MM X 30MM CANN 319-3030, $513.00 ,,,
173092,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 32MM 212.112, $392.00 ,,,
173093,IMPLANT KNEE FEM N/P CRUC RET SZ 2.5 LFT 96-0008," $4,050.00 ",,,
173094,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 34MM 212.113, $392.00 ,,,
173095,IMPLANT TRAY TI KEELED CMNTD SZ 2.5 86-4177," $1,650.00 ",,,
173097,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 36MM 212.115, $392.00 ,,,
173100,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 38MM 212.116, $392.00 ,,,
173101,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 40MM 212.117, $392.00 ,,,
173104,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 45MM 212.119, $392.00 ,,,
173106,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 50MM 212.121, $392.00 ,,,
173140,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 55MM 212.123, $392.00 ,,,
173161,IMPLANT SCREW 4.00MM X 32MM CANN 319-4032, $513.00 ,,,
173167,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 60MM 212.124, $392.00 ,,,
173169,IMPLANT SCREW 4.00MM X 40MM CANN 319-4040, $513.00 ,,,
173173,IMPLANT SCREW 4.00MM X 52MM CANN 319-4052, $513.00 ,,,
173177,CATHETER URETERAL TIGER TAIL W/FLEX TIP 6FR X 70CM 139006, $35.00 ,,,
173262,IMPLANT KNEE STEM PRI FINNED 40MM 141314, $606.00 ,,,
173714,"CATHETER DRAINAGE DAWSON MUELLER 8.5FR .038"" 25CM ULT8.5-38-25-P-5S-CLDM-HC", $238.00 ,,,
173912,K-WIRE STRL 3.2 MM X 450MM 1210-6450S, $391.00 ,,,
174015,GUIDEWIRE BALL TIPPED 3MM X 1000MM 1806-0085S, $601.00 ,,,
174072,IMPLANT HIP LINER ASSEMBLY 44/45/46MM X 28MM 5001-044-28, $900.00 ,,,
175347,"CATHETER DRAINAGE DAWSON MUELLER 10.2FR .038"" 25CM ULT10.2-38-25-P-5S-CLDM-HC G09706", $238.00 ,,,
176959,GUIDEWIRE WHISPER MS 190CM ST 1005357H, $225.00 ,,,
177130,IMPLANT SCREW T2 LOCKING 5MM X 40MM 1896-5040S, $567.00 ,,,
177132,IMPLANT SCREW T2 LOCKING 5MM X 45MM 1896-5045S, $567.00 ,,,
177134,GUIDEWIRE BALL TIPPED 1806-0080S, $528.00 ,,,
177138,IMPLANT SCREW T2 LOCKING 5MM X 55MM 1896-5055S, $567.00 ,,,
177147,INTRODUCER SHEATH PEEL AWAY 11FR X15CM PLVW-11.0-38, $125.00 ,,,
177259,IMPLANT STENT NEPHROURETEROSTOMY COPE 8.5 8.5 22 ULT8.5-8.5-22-NUCL-B-RH G48173, $337.00 ,,,
177796,SNARE ENSNARE STD 12-20MM 120CM 6FR 2006020/EN2006020, $927.00 ,,,
177797,SNARE ENSNARE STD 18-30MM 120CM 7FR 2007030/EN2007030, $927.00 ,,,
177801,IMPLANT HIP UNIV HEAD BIPOLAR UHR 55MM X 26MM UH1-55-26," $1,815.00 ",,,
178558,IMPLANT KNEE FEM N/P CRUC RET SZ 2.5 RT 96-0018," $4,050.00 ",,,
178764,IMPLANT KNEE TIB TRAY COCR FINNED 63MM 141231," $2,412.00 ",,,
179726,IMPLANT HIP LINER ASSEMBLY 57/58MM X 28MM 5001-057-28, $900.00 ,,,
180731,IMPLANT SCREW CNCLS 6.5MM X 20MM 2030-6520-1, $391.00 ,,,
180908,IMPLANT SCREW CORTEX S/T 4.5MM X 85MM 214.885, $119.00 ,,,
181038,IMPLANT HIP UNIV HEAD BIPOLAR UHR 44MM X 26MM UH1-44-26," $1,815.00 ",,,
181398,IMPLANT NEEDLE FAST-FIX MENISCAL REPAIR SYSTEM CVD 72201491, $907.00 ,,,
182100,IMPLANT KNEE TIB BAR LOCKING 141205, $345.00 ,,,
182407,"IMPLANT K-WIRE 1.6 MM X 9"" HALF BAY PT 14425-6", $80.00 ,,,
184739,IMPLANT NAIL TIB T2 STD STRL 9MM X 285MM 1822-0928S," $4,544.00 ",,,
185907,IMPLANT NAIL TROCH FIXATION STRL 12MM X 170MM 130 DEG ANG 456.322S," $4,169.00 ",,,
185911,IMPLANT SCREW TI LOCKING 5.0MM X 38MM 458.938, $558.00 ,,,
186015,IMPLANT HIP UNIV HEAD BIPOLAR UHR 46MM X 26MM UH1-46-26," $1,815.00 ",,,
186586,CATHETER DRAINAGE NEPHROURETEROSTOMY STENTS 10.2-10.2-24 ULT10.2-10.2-24-NUCL-B-RH G48164, $337.00 ,,,
187035,"IMPLANT MESH HERNIA PATCH VENTRALEX SML CIRCLE 1.7 X 1.7"" (4.3 X 4.3CM) W/STRAP #0010301"," $1,103.00 ",,,
187036,IMPLANT SCREW T2 LOCKING 5MM X 65MM 1896-5065S, $567.00 ,,,
187038,IMPLANT END CAP +10 1822-0010S, $574.00 ,,,
187047,"IMPLANT MESH HERNIA PATCH VENTRALEX MED CIRCLE 2.5 X 2.5"" (6.4 X 6.4CM) W/STRAP #0010302"," $1,320.00 ",,,
187730,IMPLANT SCREW TI LOCKING 5.0MM X 36MM 458.936, $558.00 ,,,
187734,GUIDEWIRE 3.2MM X 400MM 357.399, $307.00 ,,,
187737,IMPLANT NAIL TROCH FIXATION 11MM X 420MM 130 DEG LFT STRL 456.423S," $5,485.00 ",,,
187738,IMPLANT BLADE SAW HELICAL 11MM X 100MM 456.305," $1,997.00 ",,,
187743,IMPLANT SCREW TI LOCKING 5.0MM X 46MM 458.946, $558.00 ,,,
187758,IMPLANT SCREW TI LOCKING STRL 5.0MM X 38MM 458.938S, $716.00 ,,,
187888,"IMPLANT COIL EMBOLI TORNADO .035"" X 6/3MM MWCE-35-6/3-TORNADO G10416", $330.00 ,,,
188311,IMPLANT CABLE DALL MILES  SLEEVE VIT 2.0MM 6704-0-510," $1,099.00 ",,,
188465,IMPLANT HIP UNIV HEAD BIPOLAR UHR 45MM X 26MM UH1-45-26," $1,815.00 ",,,
188704,IMPLANT SCREW CNCLS 6.5MM X 35MM 2030-6535-1, $391.00 ,,,
188710,IMPLANT HIP FEM STEM OMNIFIT HFX #9 132 DEG 6070-0935A," $3,465.00 ",,,
189570,IMPLANT BLADE SAW HELICAL 11MM X 110MM 456.307," $1,997.00 ",,,
189587,IMPLANT SCREW TI LOCKING 5.0MM X 34MM 458.934, $558.00 ,,,
189589,IMPLANT NAIL TROCH FIXATION STRL 11MM X 170MM 130 DEG ANG 456.318S," $4,169.00 ",,,
192336,IMPLANT SCREW T2 LOCKING 5MM X 50MM 1896-5050S, $567.00 ,,,
192337,IMPLANT SCREW T2 LOCKING 5MM X 60MM 1896-5060S, $567.00 ,,,
192389,IMPLANT GRAFT ALLOMATRIX-C 10ML HUMAN TISSUE 86XC1000," $4,821.00 ",,,
192537,IMPLANT BLADE SAW HELICAL 11MM X 105MM 456.306," $1,997.00 ",,,
193813,GUIDE CATHETER LAUNCHER 8FR 3.5 LA8EBU35, $126.00 ,,,
194083,IMPLANT HIP FEM MOD HD M2A 28MM X -6MM 11-163660," $1,383.00 ",,,
194095,"GUIDEWIRE MICRO SYNCHRO PRECISION VASCULAR 0.014"" X 45CM X 200CM 1302/M00313020"," $1,638.00 ",,,
195506,IMPLANT HIP LINER PINNACLE SECTOR ACET CUP SZ 50MM 1217-22-050," $3,000.00 ",,,
195507,IMPLANT SCREW CNCLS 6.5MM X 25MM 1217-25-500, $255.00 ,,,
197265,"GUIDE CATHETER VISTA BRITE 6FR 55CM .070"" 670-190-55", $165.00 ,,,
198559,IMPLANT NAIL TROCH FIXATION 11MM X 380MM 130 DEG LFT STRL 456.419S," $5,485.00 ",,,
198561,IMPLANT SCREW TI LOCKING 5.0MM X 40MM 458.940, $575.00 ,,,
198732,CATHETER DRAINAGE NEPHROURETEROSTOMY 14.0 14.0 24 (MIN ORDER 5) ULT14.0-14.0-24-NUCL-B-HC G30060, $714.00 ,,,
199356,INTRODUCER SHEATH BRITE TIP 6FR 11CM (ORDER IN 5'S) 401-611M, $45.00 ,,,
199489,IMPLANT STENT URETERAL FLEXIMA 8FR X 26CM W/GLIDEX 27-403/M001274030, $359.00 ,,,
199551,"GUIDEWIRE ROADRUNNER .035"" ANG RFSPC-035145 G09607", $98.00 ,,,
200387,INTRODUCER SHEATH CHECK-FLO RB 10.0FR X 80CM KCFW-10.0-38-80-RB G13033, $279.00 ,,,
200393,DILATOR BALLOON ESOPHEGEAL 6-8MM 8CM F/G 5833/M00558330, $562.00 ,,,
200475,"CATHETER ASPIRATION EXPORT-XT 6FR 140CM .014"" EXPORTXT"," $1,500.00 ",,,
200534,IMPLANT HIP C TAPER ADJ SLEEVE UNITRAX +0 6942-7-065, $581.00 ,,,
200650,SNARE ENSNARE STD 6-10MM 120CM 6FR 2006010/EN2006010, $927.00 ,,,
202390,IMPLANT PLATE LCP 3H HEAD/6H SHAFT 3.5MM PROXIMAL HUMERUS 241.901," $4,520.00 ",,,
202675,RELOAD ENDOCUTTER BLUE 6 ROW CARTRIDGE 6R45B, $372.00 ,,,
203215,IMPLANT NAIL TROCH FIXATION 11MM X 360MM 130 DEG LFT STRL 456.417S," $5,485.00 ",,,
203216,IMPLANT BLADE SAW HELICAL 11MM X 95MM 456.304," $1,997.00 ",,,
203223,IMPLANT COIL PACEMAKER ACCESSORY 6996SQ," $6,900.00 ",,,
203227,IMPLANT HIP LINER PINNACLE SECTOR ACET CUP SZ 56MM 1217-22-056," $3,000.00 ",,,
204691,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 44MM 11-165212," $2,178.00 ",,,
204852,IMPLANT STENT URETERAL PERCUFLEX PLUS 6.0FR X 28CM W/O GUIDWIRE 175-264/M0061752640, $332.00 ,,,
204854,IMPLANT STENT URETERAL CONTOUR 6FR X 28CM W/O GUIDWIRE 180-224/M0061802240, $332.00 ,,,
207223,"GUIDEWIRE MICRO TRANSEND FLOPPY 0.014"" X 39CM 300CM 46-815"," $1,600.00 ",,,
207376,IMPLANT STENT VIATORR  ENDO 10MM X 8CM X 2CM PTB108275," $12,600.00 ",,,
207690,INTRODUCER SHEATH CHECK FLO 10.0FR X 40CM KCFW-10.0-38-40-RB, $215.00 ,,,
207780,IMPLANT HIP FEM COCR MOD HD NO SKRT 32MM STD NK 163669," $1,383.00 ",,,
207917,"RELOAD ENDOSTITCH 2-0 SOFSILK 48"" BLACK 170004", $161.00 ,,,
207985,IMPLANT SCREW CANN LONG THRD 4.0MM X 28MM 207.728, $611.00 ,,,
207987,IMPLANT SCREW CANN LONG THRD 4.0MM X 34MM 207.734, $611.00 ,,,
207989,IMPLANT SCREW CANN LONG THRD 4.0MM X 44MM 207.744, $611.00 ,,,
207992,IMPLANT SCREW CANN LONG THRD 4.0MM X 46MM 207.746, $611.00 ,,,
208098,IMPLANT KNEE TIB BLOCK NEXGEN AUG 10MM SZ 5 5988-005-27," $3,062.00 ",,,
208237,CATHETER MICRO RENEGADE HI-FLO 150CM X 20CM  18-291/M001182910," $1,080.00 ",,,
208339,IMPLANT HIP SPACER OMNIFIT UNIV DISTAL CEMENT 12MM 1067-0012, $420.00 ,,,
208473,"CATHETER DRAINAGE MULTIPURPOSE 10.2FR .038"" 45CM 6S ULT10.2-38-45-P-6S-CLM-RH  G09766", $278.00 ,,,
209273,GUIDEWIRE JOWIRE ASAHI SOFT 0.014 180CM ST  (ORDER IN 5'S) AG141000/12780-01, $225.00 ,,,
209275,GUIDEWIRE JOWIRE ASAHI MED 0.014 180CM (ORDER IN 5'S) AG142000/12782-01, $225.00 ,,,
209278,GUIDEWIRE JOWIRE ASAHI CONFIANZA 0.014 X 180CM (ORDER IN 5'S) AG143090/12784-01, $390.00 ,,,
209414,GUIDEWIRE AMPLATZER 0.035 X 260 SUPER STIFF 1.5 CM TIP  9-GW-002, $153.00 ,,,
210115,IMPLANT SCREW TI LOCKING 5.0MM X 48MM 458.948, $558.00 ,,,
210208,PARACENTESIS PROCEDURE TRAY SAFETY (ORDER IN 5'S) W/CATH 5FR 10CM  SPPT-5F-10, $124.00 ,,,
210284,IMPLANT HIP UNIV HEAD BIPOLAR UHR 49MM X 26MM UH1-49-26," $1,815.00 ",,,
210741,IMPLANT SCREW CORT 3.5MM X 10MM CS-16, $223.00 ,,,
210861,IMPLANT HAND PEG PARTIAL THRD 2.5MM X 18MM TP-18000, $223.00 ,,,
211765,"GLIDEWIRE ANG 0.038"" X 3CM X 180CM GR3808", $119.00 ,,,
211900,IMPLANT BLADE SAW HELICAL STRL 11MM X 110MM 456.307S," $2,196.00 ",,,
212309,CLAMP 5 PIN 4920-2-020," $1,868.00 ",,,
212313,ROD CARBON CON BRAIDED 8MM X 300MM 5029-8-830, $763.00 ,,,
212330,CLAMP PIN TO ROD 4940-1-020," $1,102.00 ",,,
212342,IMPLANT SCREW S/T CORTEX 3.5MM X 20MM 338620, $65.00 ,,,
212343,IMPLANT SCREW S/T CORTEX 3.5MM X 18MM 338618, $65.00 ,,,
212344,IMPLANT SCREW CANC FULL THREAD 4.0MM X 18MM 345418, $65.00 ,,,
213975,IMPLANT HIP LINER PINNACLE SECTOR ACET CUP SZ 64MM 1217-22-064," $3,000.00 ",,,
214079,IMPLANT BLADE SAW HELICAL STRL 11MM X 90MM 456.303S," $2,196.00 ",,,
214386,CATHETER EMBOLECTOMY FOGARTY TRU-LUMEN LTX 5.5FR X 40CM 12TLW405F35, $267.00 ,,,
214560,GUIDE CATHETER MULTI PURPOSE F/LEAD DELIVERY 6216A-MP, $450.00 ,,,
214561,GUIDE CATHETER MPLATZ 48.5 CM LENGTH 6218A-AM, $450.00 ,,,
215958,IMPLANT BLADE SAW HELICAL STRL 11MM X 95MM  456.304S," $2,196.00 ",,,
216689,IMPLANT HIP CUP RINGLOC BI-POLAR 28MM X 51MM 11-165226," $2,178.00 ",,,
217194,IMPLANT BLADE SAW HELICAL STRL 11MM X 100MM  456.305S," $2,196.00 ",,,
217195,IMPLANT BLADE SAW HELICAL STRL 11MM X 105MM  456.306S," $2,196.00 ",,,
217201,IMPLANT BLADE SAW HELICAL STRL 11MM X 85MM 456.302S," $2,196.00 ",,,
218343,IMPLANT HIP FEM STEM COCR MOD HD NO SKRT 32MM X +6MM NK 163674," $1,383.00 ",,,
218712,IMPLANT SHOULDER HUMERAL HEAD ECCENTRIC 52MM X 18MM," $4,200.00 ",,,
219074,INTRODUCER SHEATH BRITE TIP 10FR 23CM (ORDER IN 5'S) 401-023M, $75.00 ,,,
219257,IMPLANT SCREW LOCKING S/T W/STARDRIVE 3.5MM X 10MM 212.101, $392.00 ,,,
219346,INTRODUCER SHEATH CHECK-FLO 12FR 038 13CM RCF-12.0-38-J/196865 G07369, $147.00 ,,,
219352,IMPLANT KNEE TIB ROTATING PLATFORM STABILIZED SZ 3 X 15.0MM 96-2133," $4,200.00 ",,,
221819,IMPLANT SHELL ACETBABULAR 60MM 542-11-60G," $3,465.00 ",,,
221869,IMPLANT CAP STD SCREW STRL 3MM  1822-0003S, $574.00 ,,,
221987,INTRODUCER SHEATH PINNACLE DESTINATION ST 7FR X 45CM CCV RSR04, $237.00 ,,,
222217,IMPLANT KNEE TIB ROTATING PLATFORM STABILIZED SZ 3 X 10.0MM 96-2131," $4,200.00 ",,,
222486,IMPLANT STENT CORONARY MULTI-LINK VISION RX 4.0MM X 12MM 1007850-12," $1,305.00 ",,,
222584,INTRODUCER SHEATH BRITE TIP 6FR 5.5CM (ORDER IN 5'S) 401-605M, $45.00 ,,,
222587,IMPLANT CONNECTOR CROSSLINK 45MM X 10MM 811-5545," $3,749.00 ",,,
222605,IMPLANT EMBOLIC EMBOSPHERE 300-500UM 20ML SYRINGE (ORDER IN 5'S) S420GH, $633.00 ,,,
222628,"DRAIN ROUND 10FR 1/8"" TROCAR  3/4 FLUTED 072221", $44.00 ,,,
222629,"DRAIN ROUND 15FR 3/16"" TROCAR  3/4 FLUTED 072223", $44.00 ,,,
222635,IMPLANT PIN CERCLAGE POSITIONING THREADED STRL 4.5MM  298.803S, $576.00 ,,,
222646,IMPLANT HIP LINER PINNACLE SECTOR ACET CUP SZ 62MM 1217-22-062," $3,000.00 ",,,
222648,IMPLANT SCREW CNCLS 6.5MM X 35MM 1217-35-500, $255.00 ,,,
222656,IMPLANT HIP HEAD FEM ARTICUL/EZE 32MM 1365-21-000," $1,350.00 ",,,
223134,IMPLANT NAIL TROCH FIXATION STRL 10MM X 170MM 130 DEG ANG 456.315S," $4,169.00 ",,,
223732,IMPLANT EMBOLIC EMBOSPHERE 500-700UM 20ML SYRINGE (ORDER IN 5'S) S620GH, $633.00 ,,,
223997,"DRAIN ROUND 19FR 3/16"" TROCAR  3/4 FLUTED 072225", $44.00 ,,,
224508,IMPLANT KNEE ARCOM PATELLA W/WIRE 1-PEG 37MM 11-150830," $1,032.00 ",,,
224771,REMOVAL CONE RECOVERY SYSTEM FBRC (PHYSICIAN NAME REQUIRED)," $1,785.00 ",,,
224860,IMPLANT SCREW HEX CAP 5.0 MM X 30 MM 71642230, $630.00 ,,,
225024,IMPLANT SCREW CNCLS 6.5MM X 30MM 1217-30-500, $255.00 ,,,
225508,GUIDEWIRE BALL TIP 2.5MM X 950MM REAMING ROD W/OFFSET 351.706S, $366.00 ,,,
226025,IMPLANT SCREW TI LOCKING 5.0MM X 32MM 458.932, $558.00 ,,,
