Description,Charge
Atorvastatin 80mg T (Lipitor),$75.75
Atovaquone 750 mg/5 mL Susp UD (Mepron),$243.75
Atovaquone-Proguanil 250-100mg Tab,$52.45
Atracurium 50mg/5mL I(Tracrium),$50.55
Atrop-Diphenoxylate 2.5mg T(Lomotil generic),$25.00
Atrop-Diphenoxylate 5mL UD Oral Liq,$56.00
Atropine 0.4mg/mL 1mL I,$46.55
Atropine 0.4mg/mL 20mL I,$217.00
Atropine 1% 15mL Ophth Soln(Atropisol),$619.10
Atropine 1mg/10mL IS,$57.45
Atropine 1mg/mL 1mL I,$73.15
Auditory Potentials,"$1,078.00"
Augment Infectable,"$12,735.00"
Auramine Rhodamine Client M,$6.00
Autoantibody Cba Mayo,$719.00
Autoantibody If Titer Mayo,$85.00
Autoantibody If Titer Mayo,$100.00
Autograft,"$3,160.00"
Av Pacemaker Optimization,$455.00
Avul Of Nail Plate Single,$238.00
Axillary Block,"$1,725.00"
azaCITIDine 100mg Inj,"$2,966.30"
azaTHIOprine 50mg T(Imuran),$14.95
Azelastine 137 mcg/spr 30mL NS,$677.00
Azithromycin 100mg/5mL L,$82.30
Azithromycin 250 mg T(Zithromax),$55.10
Azithromycin 500mg I,$71.35
Azithromycin 500mg/NS 255mL P,"$1,518.10"
Aztreonam 1g I (Azactam),$309.55
Aztreonam 2g I (Azactam),$600.40
B Burgdorferi C6 Peptide Abs,$117.00
B Cell Gene Arrangement Csi,$427.00
B Cells Total Count,$46.00
B Type Natriuretic Peptide,$239.00
Babesia Species By Pcr,$189.00
Baci-Poly 30g TO(Polysporin),$0.00
Bacitracin 28G To,$0.00
Bacitracin 500unit/g  3.5g OO,$719.45
Bacitracin 50K unit I,$113.10
Baclofen (2000mcg/mL) 40mg/20mL IT,"$3,616.25"
Baclofen (500mcg/mL)10mg/20mL IT,"$1,046.55"
Baclofen 10mg T(Lioresal),$17.50
Baclofen 20 mg Tab,$36.30
Bac-Neo-Poly 28g TO(Triple Abx),$0.00
Bac-Neo-Poly UD TO(Triple Abx),$0.00
Bac-Neo-Poly-HC 15g TO(Cortisporin),$979.75
Bacterial Culture,$198.00
Bacterial Culture Anaerobic,$242.00
Bacterial Culture Blood,$209.00
Bacterial Culture Body Fluid,$214.00
Bacterial Culture Ear,$214.00
Bacterial Culture Eye,$214.00
Bacterial Culture Feces,$316.00
Bacterial Culture Medical Device,$214.00
Bacterial Culture Other,$214.00
Bacterial Culture Respiratory,$214.00
Bacterial Culture Throat Nose,$214.00
Bacterial Culture Tissue,$214.00
Bacterial Culture Urine,$175.00
Bacterial Culture Wound,$214.00
Balloon,"$1,459.68"
Balloon,"$1,320.00"
Balloon,$877.50
Balloon,"$2,840.00"
Balloon,"$1,540.00"
Balloon,"$2,517.08"
Balloon,"$10,644.00"
Balloon,$562.50
Balloon,"$1,412.04"
Balloon,"$4,117.05"
Balloon,"$2,333.80"
Balloon,"$1,908.80"
Balloon,"$7,650.00"
Balloon,"$8,100.00"
Balloon,"$3,864.00"
Balloon,$652.50
Balloon,"$2,212.00"
Balloon,"$4,550.00"
Balloon Aortic Valvuloplasty,"$10,784.00"
Balloon Apx Mr 12 Mm X 2.0 Mm,$607.50
Balloon Apx Mr 12 Mm X 2.25 Mm,$607.50
Balloon Apx Mr 12 Mm X 2.5 Mm,$607.50
Balloon Apx Mr 12 Mm X 2.75 Mm,$607.50
Balloon Apx Mr 12 Mm X 3.0 Mm,$607.50
Balloon Apx Mr 12 Mm X 3.25 Mm,$607.50
Balloon Apx Mr 12 Mm X 3.5 Mm,$607.50
Balloon Apx Mr 12 Mm X 4.0 Mm,$607.50
Balloon Apx Mr 12 Mm X 4.5 Mm,$607.50
Balloon Apx Mr 12 Mm X 5.0 Mm,$607.50
Balloon Apx Mr 15 Mm X 2.0 Mm,$607.50
Balloon Apx Mr 15 Mm X 2.25 Mm,$607.50
Balloon Apx Mr 15 Mm X 2.5 Mm,$607.50
Balloon Apx Mr 15 Mm X 2.75 Mm,$607.50
Balloon Apx Mr 15 Mm X 3.0 Mm,$607.50
Balloon Apx Mr 15 Mm X 3.5 Mm,$607.50
Balloon Apx Mr 15 Mm X 4.0 Mm,$607.50
Balloon Apx Mr 15 Mm X 5.0 Mm,$607.50
Balloon Apx Mr 20 Mm X 2.5 Mm,$607.50
Balloon Apx Mr 20 Mm X 2.75 Mm,$607.50
Balloon Apx Mr 20 Mm X 3.0 Mm,$607.50
Balloon Apx Mr 20 Mm X 4.0 Mm,$607.50
Balloon Apx Mr 20Mm X 3.5Mm,$607.50
Balloon Apx Mr 8 Mm X 2.0 Mm,$607.50
Balloon Apx Mr 8 Mm X 2.25 Mm,$607.50
Balloon Apx Mr 8 Mm X 2.5 Mm,$607.50
Balloon Apx Mr 8 Mm X 3.0 Mm,$607.50
Balloon Apx Pmr 12 Mm X 1.5 Mm,$607.50
Balloon Apx Pmr 8 Mm X 1.5 Mm,$607.50
Balloon Asii 18,"$1,744.00"
Balloon Catheter,"$4,287.50"
Balloon Catheter,"$1,220.00"
Balloon Catheter,$810.00
Balloon Catheter,"$3,482.50"
Balloon Catheter,"$2,840.00"
Balloon Catheter,"$1,580.00"
Balloon Catheter,"$7,620.00"
Balloon Catheter,"$1,860.00"
Balloon Catheter,"$1,700.00"
Balloon Catheter,"$1,740.00"
Balloon Catheter,$805.50
Balloon Catheter,"$1,540.00"
Balloon Catheter,"$6,562.50"
Balloon Catheter,"$1,293.88"
Balloon Catheter,"$10,635.00"
Balloon Catheter,"$1,424.00"
Balloon Catheter,$873.00
Balloon Catheter,"$1,320.00"
Balloon Catheter,"$2,960.00"
Balloon Catheter,"$9,150.00"
Balloon Catheter,"$1,541.60"
Balloon Cp 5 X 2 X 135,"$3,180.00"
Balloon Cp 6 X 2 X 135,"$3,180.00"
Balloon Cutting 7X2X135,"$3,180.00"
Balloon Cutting 8X2X136,"$3,180.00"
Balloon De Lut 5 X 100 130,"$6,562.50"
Balloon De Lut 5 X 40 X 130,"$6,562.50"
Balloon De Lut 6 X 100 X 130,"$6,562.50"
Balloon De Lut 6 X 120 X 130,"$7,650.00"
Balloon De Lut 6 X 60 X 130,"$6,562.50"
Balloon De Lut 6 X 80 X 130,"$6,562.50"
Balloon De Lut 7 X 40 X 130,"$6,562.50"
Balloon De Lut 7 X 60 X 130,"$6,562.50"
Balloon Dilator,"$1,359.40"
Balloon Dilator,"$1,568.00"
Balloon Dilator,"$1,484.00"
Balloon Dilator,"$6,562.50"
Balloon Dilator,"$7,500.00"
Balloon Dilator,"$1,704.80"
Balloon Dilator,"$3,465.00"
Balloon Dr Lut 5X60X130,"$6,562.50"
Balloon Emr 2.00X12Mm,$607.50
Balloon Emr 2.00X15Mm,$607.50
Balloon Emr 2.00X8Mm,$607.50
Balloon Emr 2.25X12Mm,$607.50
Balloon Emr 2.25X15Mm,$607.50
Balloon Emr 2.25X8Mm,$607.50
Balloon Emr 2.50X12Mm,$607.50
Balloon Emr 2.50X15Mm,$607.50
Balloon Emr 2.50X20Mm,$607.50
Balloon Emr 2.50X8Mm,$607.50
Balloon Emr 2.75X12Mm,$607.50
Balloon Emr 2.75X15Mm,$607.50
Balloon Emr 2.75X20Mm,$607.50
Balloon Emr 3.00X12Mm,$607.50
Balloon Emr 3.00X15Mm,$607.50
Balloon Emr 3.00X20Mm,$607.50
Balloon Emr 3.00X8Mm,$607.50
Balloon Emr 3.25X12Mm,$607.50
Balloon Emr 3.50X12Mm,$607.50
Balloon Emr 3.50X15Mm,$607.50
Balloon Emr 3.50X20Mm,$607.50
Balloon Emr 4.00X12Mm,$607.50
Balloon Emr 4.00X15Mm,$607.50
Balloon Emr 4.00X20Mm,$607.50
Balloon Emr Nc 2.00X12Mm,$607.50
Balloon Emr Nc 2.00X15Mm,$607.50
Balloon Emr Nc 2.00X20Mm,$607.50
Balloon Emr Nc 2.00X8Mm,$607.50
Balloon Emr Nc 2.25X12Mm,$607.50
Balloon Emr Nc 2.25X15Mm,$607.50
Balloon Emr Nc 2.25X20Mm,$607.50
Balloon Emr Nc 2.25X8Mm,$607.50
Balloon Emr Nc 2.50X12Mm,$607.50
Balloon Emr Nc 2.50X15Mm,$607.50
Balloon Emr Nc 2.50X20Mm,$607.50
Balloon Emr Nc 2.50X8Mm,$607.50
Balloon Emr Nc 2.75X12Mm,$607.50
Balloon Emr Nc 2.75X15Mm,$607.50
Balloon Emr Nc 2.75X20Mm,$607.50
Balloon Emr Nc 2.75X8Mm,$607.50
Balloon Emr Nc 3.00X12Mm,$607.50
Balloon Emr Nc 3.00X15Mm,$607.50
Balloon Emr Nc 3.00X20Mm,$607.50
Balloon Emr Nc 3.00X8Mm,$607.50
Balloon Emr Nc 3.25X12Mm,$607.50
Balloon Emr Nc 3.25X15Mm,$607.50
Balloon Emr Nc 3.25X20Mm,$607.50
Balloon Emr Nc 3.25X8Mm,$607.50
Balloon Emr Nc 3.50X12Mm,$607.50
Balloon Emr Nc 3.50X15Mm,$607.50
Balloon Emr Nc 3.50X20Mm,$607.50
Balloon Emr Nc 3.50X8Mm,$607.50
Balloon Emr Nc 3.75X12Mm,$607.50
Balloon Emr Nc 3.75X15Mm,$607.50
Balloon Emr Nc 3.75X20Mm,$607.50
Balloon Emr Nc 3.75X8Mm,$607.50
Balloon Emr Nc 4.00X12Mm,$607.50
Balloon Emr Nc 4.00X15Mm,$607.50
Balloon Emr Nc 4.00X20Mm,$607.50
Balloon Emr Nc 4.00X8Mm,$607.50
Balloon Emr Nc 4.50X12Mm,$607.50
Balloon Emr Nc 4.50X15Mm,$607.50
Balloon Emr Nc 4.50X20Mm,$607.50
Balloon Emr Nc 5.00X12Mm,$607.50
Balloon Emr Nc 5.00X15Mm,$607.50
Balloon Emr Nc 5.00X20Mm,$607.50
Balloon Emr Push 1.20X12Mm,$607.50
Balloon Emr Push 1.20X8Mm,$607.50
Balloon Emr Push 1.50X12Mm,$607.50
Balloon Emr Push 1.50X8Mm,$607.50
Balloon Enteroscopy,"$3,235.00"
Balloon Fc 2.0 X 10,"$3,500.00"
Balloon Fc 2.25 X 10,"$3,500.00"
Balloon Fc 2.5 X 10,"$3,500.00"
Balloon Fc 2.75 X 10,"$3,500.00"
Balloon Fc 3.0 X 10,"$3,500.00"
Balloon Fc 3.25 X 10,"$3,500.00"
Balloon Fc 3.5 X 10,"$3,500.00"
Balloon Fc 3.75 X 10,"$3,500.00"
Balloon Fc 4.0 X 10,"$3,500.00"
Balloon Ncqa 2.0 X 12,$607.50
Balloon Ncqa 2.5 X 12,$607.50
Balloon Ncqa 2.5 X 20,$607.50
Balloon Ncqa 2.75 X 12,$607.50
Balloon Ncqa 2.75 X 20,$607.50
Balloon Ncqa 3.0 X 12,$607.50
Balloon Ncqa 3.0 X 20,$607.50
Balloon Ncqa 3.25 X 12,$607.50
Balloon Ncqa 3.25 X 20,$607.50
Balloon Ncqa 3.5 X 12,$607.50
Balloon Ncqa 3.5 X 20,$607.50
Balloon Ncqa 3.75 X 12,$607.50
Balloon Ncqa 3.75 X 20,$607.50
Balloon Ncqa 4.0 X 12,$607.50
Balloon Ncqa 4.0 X 20,$607.50
Balloon Ncqa 4.5 X 12,$607.50
Balloon Ncqa 4.5 X 20,$607.50
Balloon Ncqa 5.0 X 12,$607.50
Balloon Ncqa 5.0 X20,$607.50
Balloon Nctrx 1.5 X 12,$607.50
Balloon Nctrx 1.5 X 15,$607.50
Balloon Nctrx 2.0 X 12,$607.50
Balloon Nctrx 2.0 X 15,$607.50
Balloon Nctrx 2.0 X 20,$607.50
Balloon Nctrx 2.0 X 8,$607.50
Balloon Nctrx 2.25 X 12,$607.50
Balloon Nctrx 2.25 X 15,$607.50
Balloon Nctrx 2.25 X 20,$607.50
Balloon Nctrx 2.25 X 8,$607.50
Balloon Nctrx 2.5 X 12,$607.50
Balloon Nctrx 2.5 X 15,$607.50
Balloon Nctrx 2.5 X 8,$607.50
Balloon Nctrx 2.5X 20,$607.50
Balloon Nctrx 2.75 X 12,$607.50
Balloon Nctrx 2.75 X 15,$607.50
Balloon Nctrx 2.75 X 20,$607.50
Balloon Nctrx 2.75 X 8,$607.50
Balloon Nctrx 3.0 X 12,$607.50
Balloon Nctrx 3.0 X 15,$607.50
Balloon Nctrx 3.0 X 20,$607.50
Balloon Nctrx 3.0 X 8,$607.50
Balloon Nctrx 3.25 X 12,$607.50
Balloon Nctrx 3.25 X 15,$607.50
Balloon Nctrx 3.25 X 20,$607.50
Balloon Nctrx 3.5 X 12,$607.50
Balloon Nctrx 3.5 X 15,$607.50
Balloon Nctrx 3.5 X 20,$607.50
Balloon Nctrx 3.5 X 8,$607.50
Balloon Nctrx 3.75 X 12,$607.50
Balloon Nctrx 3.75 X 15,$607.50
Balloon Nctrx 3.75 X 20,$607.50
Balloon Nctrx 3.75 X 8,$607.50
Balloon Nctrx 4.0 X 12,$607.50
Balloon Nctrx 4.0 X 15,$607.50
Balloon Nctrx 4.0 X 20,$607.50
Balloon Nctrx 4.0 X 8,$607.50
Balloon Nctrx 4.5 X 15,$607.50
Balloon Nctrx 5.0 X 15,$607.50
Balloon Peripheral As 5X40X135,"$4,550.00"
Balloon Pta Us 6X100,"$3,412.50"
Balloon Pta Us 6X120,"$3,412.50"
Balloon Pta Us 6X40,"$3,412.50"
Balloon Pta Us 6X80,"$3,412.50"
Balloon Qapx 15 Mm X 2.0 Mm,$607.50
Balloon Qapx 15 Mm X 2.25 Mm,$607.50
Balloon Qapx 15 Mm X 2.5 Mm,$607.50
Balloon Qapx 15 Mm X 2.75 Mm,$607.50
Balloon Qapx 15 Mm X 3.0 Mm,$607.50
Balloon Qapx 15 Mm X 3.25 Mm,$607.50
Balloon Qapx 15 Mm X 3.5 Mm,$607.50
Balloon Qapx 15 Mm X 3.75 Mm,$607.50
Balloon Qapx 15 Mm X 4.0 Mm,$607.50
Balloon Qapx 15 Mm X 4.5 Mm,$607.50
Balloon Qapx 15 Mm X 5.0 Mm,$607.50
Balloon Qapx 8 Mm X 2.0 Mm,$607.50
Balloon Qapx 8 Mm X 2.25 Mm,$607.50
Balloon Qapx 8 Mm X 2.5 Mm,$607.50
Balloon Qapx 8 Mm X 2.75 Mm,$607.50
Balloon Qapx 8 Mm X 3.0 Mm,$607.50
Balloon Qapx 8 Mm X 3.5 Mm,$607.50
Balloon Qapx 8 Mm X 3.75 Mm,$607.50
Balloon Qapx 8 Mm X 4.0 Mm,$607.50
Balloon Rxmt 1.2 X 12,$607.50
Balloon Rxmt 1.2 X 15,$607.50
Balloon Rxmt 1.2 X 8,$607.50
Balloon Rxmt 1.5X8,$607.50
Balloon Rxtx 11 1.2X12 Mm,$607.50
Balloon Rxtx 11 1.2X15 Mm,$607.50
Balloon Rxtx 11 1.2X8 Mm,$607.50
Balloon Rxtx 11 1.5X12 Mm,$607.50
Balloon Rxtx 11 1.5X15 Mm,$607.50
Balloon Rxtx 11 1.5X8 Mm,$607.50
Balloon Rxtx 11 2X12 Mm,$607.50
Balloon Rxtx 11 2X15 Mm,$607.50
Balloon Rxtx 11 2X20 Mm,$607.50
Balloon Rxtx 22 2X8 Mm,$607.50
Balloon Stone Extractor Rx,$802.80
Balloon Stone Extractor Rx,$965.79
Balloon Totw 2.0 X 12,"$10,755.00"
Balloon Totw 2.0 X 15,$733.50
Balloon Totw 2.5 X 12,$607.50
Balloon Totw 2.5 X 15,$607.50
Balloon Totw 2.5 X 8,$607.50
Balloon Totw 3.0 X 12,$607.50
Balloon Totw 3.0 X 15,$607.50
Balloon Totw 3.0 X 8,$607.50
Balloon Totw 3.5 X 12,$607.50
Balloon Totw 3.5 X 15,$607.50
Balloon Totw 3.5 X 8,$607.50
Balloon Trx 1.5 X 12,$607.50
Balloon Trx 2.0 X 12,$607.50
Balloon Trx 2.0 X 15,$607.50
Balloon Trx 2.0 X 8,$607.50
Balloon Trx 2.25 X 12,$607.50
Balloon Trx 2.25 X 15,$607.50
Balloon Trx 2.25 X 8,$607.50
Balloon Trx 2.5 X 12,$607.50
Balloon Trx 2.5 X 15,$607.50
Balloon Trx 2.5 X 20,$607.50
Balloon Trx 2.5 X 8,$607.50
Balloon Trx 2.75 X 12,$607.50
Balloon Trx 2.75 X 15,$607.50
Balloon Trx 2.75 X 20,$607.50
Balloon Trx 3.0 X 12,$607.50
Balloon Trx 3.0 X 15,$607.50
Balloon Trx 3.0 X 20,$607.50
Balloon Trx 3.25 X 8,$607.50
Balloon Trx 3.25X15,$607.50
Balloon Trx 3.5 X 12,$607.50
Balloon Trx 3.5 X 15,$607.50
Balloon Trx 3.5 X 20,$607.50
Balloon Trx 3.5 X 8,$607.50
Balloon Trx 3.75 X 12,$607.50
Balloon Trx 3.75 X 15,$607.50
Balloon Trx 3.75 X 20,$607.50
Balloon Trx 3.75 X 8,$607.50
Balloon Trx 3X8,$607.50
Balloon Trx 4.0 X 12,$607.50
Balloon Trx 4.0 X 15,$607.50
Balloon Trx 4.0 X 20,$607.50
Balloon Trx 4.0 X 8,$607.50
Balloon Trx 4.5 X 12,$607.50
Balloon Trx 4.5 X 15,$607.50
Balloon Trx 5.0 X 12,$607.50
Balloon Trx 5.0 X 15,$607.50
Balloon Uv 10 X 20 X 130,$562.50
Balloon Uv 10 X 20 X 75,$562.50
Balloon Uv 10 X 40 X 130,$562.50
Balloon Uv 10 X 40 X 75,$562.50
Balloon Uv 12 X 20 X 75,$562.50
Balloon Uv 12 X 40 X 75,$562.50
Balloon Uv 3.5 X 40 X 150,"$1,220.00"
Balloon Uv 4 X 100 X 130,$562.50
Balloon Uv 4 X 120 130,$562.50
Balloon Uv 4 X 20 X 75,$562.50
Balloon Uv 4 X 40 X 130,$562.50
Balloon Uv 40 X 40 X 75,$562.50
Balloon Uv 5 X .0 X 130,$562.50
Balloon Uv 5 X 100 X 130,$562.50
Balloon Uv 5 X 20 X 130,$562.50
Balloon Uv 5 X 20 X 75,$562.50
Balloon Uv 5 X 40 X 130,$562.50
Balloon Uv 5 X 40 X 75,$562.50
Balloon Uv 5 X 80 X 130,$562.50
Balloon Uv 5X60X150,"$1,220.00"
Balloon Uv 6 X 120 X 130,$562.50
Balloon Uv 6 X 20 X 75,$562.50
Balloon Uv 6 X 40 X 130,$562.50
Balloon Uv 6 X 40 X 75,$562.50
Balloon Uv 6 X 60 X 130,$562.50
Balloon Uv 6 X 60 X 75,$562.50
Balloon Uv 6 X 80 X 130,$562.50
Balloon Uv 7 X 100 X 130,$562.50
Balloon Uv 7 X 20 X 130,$562.50
Balloon Uv 7 X 20 X 75,$562.50
Balloon Uv 7 X 40 X 130,$562.50
Balloon Uv 7 X 40 X 75,$562.50
Balloon Uv 7 X 60 X 130,$562.50
Balloon Uv 7 X 60 X 75,$562.50
Balloon Uv 7 X 80 X 130,$562.50
Balloon Uv 8 X 20 X 130,$562.50
Balloon Uv 8 X 20 X 75,$562.50
Balloon Uv 8 X 40 X 130,$562.50
Balloon Uv 8 X 40 X 75,$562.50
Balloon Uv 8 X 60 X 75,$562.50
Balloon Uv 8 X 80 X 130,$562.50
Balloon Uv 9 X 20 X 130,$562.50
Balloon Uv 9 X 20 X 75,$562.50
Balloon Uv 9 X 40 X 130,$562.50
Balloon Uv 9 X 40 X 75,$562.50
Balloon Uv Otw 6 X 20 X 75,$967.50
Balloon Uv Otw 7 X 40 X 75,$967.50
Balloon Uv Rx 3 X 100 X 150,"$1,220.00"
Balloon Uv Rx 3 X 40 X 150,"$1,220.00"
Balloon Uv Rx 3 X 60 X 150,"$1,220.00"
Balloon Uv Rx 4 X 100 X 150,"$1,220.00"
Balloon Uv Rx 4 X 15 X 150,"$1,220.00"
Balloon Uv Rx 4 X 20 X 150,"$1,220.00"
Balloon Uv Rx 4 X 40 X 150,"$1,220.00"
Balloon Uv Rx 4 X 60 X 150,"$1,220.00"
Balloon Uv Rx 5 X 100 X 150,"$1,220.00"
Balloon Uv Rx 5 X 120 X 150,"$1,220.00"
Balloon Uv Rx 5 X 15 X 150,"$1,220.00"
Balloon Uv Rx 5 X 20 X 150,"$1,220.00"
Balloon Uv Rx 5 X 40 X 150,"$1,220.00"
Balloon Uv Rx 6 X 40 X 150,"$1,220.00"
Balloon Uv Rx 6 X 60 X 150,"$1,220.00"
Balloon Valvuplasty 14 X 4,"$2,483.08"
Balloon Valvuplasty 16 X 4,"$2,483.08"
Balloon Valvuplasty 16 X 5,"$2,483.08"
Balloon Valvuplasty 18 X 4,"$2,483.08"
Balloon Valvuplasty 18 X 6,"$2,620.16"
Balloon Valvuplasty 20 X 6,"$2,550.48"
Balloon Valvuplasty 22 X 6,"$2,550.48"
Balloon Valvuplasty 24 X 4.5,"$3,580.50"
Balloon Valvuplasty 26 X 4.5,"$3,580.50"
Balloon Vertebral,"$5,852.00"
Balloon Vt Otw 5 X 20 X 140,"$2,840.00"
Balloon Vt Otw 6 X 20 X 140,"$2,840.00"
Balloon Vt Otw 7 X 20 X 140,"$2,840.00"
Balloon Vvp 23Mm,"$3,580.50"
Balloon Vvp 25Mm,"$3,580.50"
Balloon Vvp 26Mm,"$3,482.54"
Balsalazide 750 mg C(Colazal),$11.30
Balsam Peru-Castor Oil Top Oint,$261.75
Band Annuloplasty,"$8,190.00"
Bar,$643.50
Bar Dietician Group 30Min,$32.00
Bar Dietician Init Indiv 15Min,$48.00
Bar Dietician Reassess Indiv 15Mn,$48.00
Bariatric Clinic Visit,$194.00
Bariatric Fill,$755.00
Barium Sulf 105PCT 1900ML S,$0.00
Barium Sulf 2PCT 450ML Oral Smoot,$0.00
Barium Sulf 60PCT 355ML Susp,$0.00
Barium Sulf 96PCT 176G Pow,$0.00
Barium Sulf 98PCT 140ML Pow,$0.00
Barium WSulf .1PCT 450ML Susp,$0.00
Barrier Adhesion,"$1,744.33"
Bartonella Henselae Abs,$65.00
Bartonella Serology,$33.00
Baseplate,"$6,518.23"
Baseplate,"$8,207.25"
Baseplate,"$5,976.78"
Baseplate,"$8,472.45"
Baseplate,"$4,287.50"
Baseplate,"$6,558.41"
Baseplate,"$6,241.03"
Baseplate,"$13,950.00"
Baseplate,"$5,187.00"
Baseplate,"$18,250.00"
Baseplate,"$9,104.25"
Baseplate,"$8,178.00"
Baseplate,"$6,506.85"
Baseplate,"$9,675.00"
Baseplate,"$9,238.80"
Baseplate,"$13,025.70"
Baseplate,"$7,569.00"
Baseplate,"$18,507.50"
Baseplate,"$9,639.00"
Baseplate,"$1,640.00"
Baseplate,"$13,326.00"
Baseplate,"$14,655.00"
Baseplate,"$19,625.00"
Baseplate,"$5,505.50"
Baseplate,"$16,100.00"
Baseplate,"$19,500.00"
Baseplate,"$12,604.50"
Baseplate,"$8,616.00"
Baseplate,"$8,014.50"
Baseplate,"$8,973.00"
Baseplate,"$4,462.50"
Baseplate,"$7,373.25"
Baseplate,"$14,985.00"
Baseplate,"$5,481.00"
Baseplate,"$16,420.00"
Baseplate,"$7,549.47"
Baseplate,"$9,552.75"
Baseplate,"$10,188.00"
Baseplate,"$10,165.05"
Baseplate,"$10,821.75"
Baseplate,"$2,640.00"
Baseplate,"$13,875.00"
Baseplate,"$6,300.00"
Baseplate,"$9,429.90"
Baseplate,"$8,722.89"
Baseplate,"$5,693.63"
Baseplate,"$9,745.26"
Baseplate,"$5,109.30"
Baseplate,"$12,516.75"
Baseplate,"$6,370.00"
Baseplate,"$9,302.10"
Baseplate,"$9,715.50"
Baseplate,"$24,375.00"
Baseplate,"$25,875.00"
Baseplate,"$26,750.00"
Baseplate,"$17,047.50"
Baseplate,"$15,192.50"
Baseplate,"$15,350.00"
Baseplate,"$8,259.00"
Baseplate,"$16,675.00"
Basic Metabolic Panel,$252.00
BB Bill Ab Id Rare Reference,$277.00
BB Bill Ab Id Reference,$216.00
BB Bill Ab Id Reference,$55.00
BB Bill Ab Pnl Ads Reference,$216.00
BB Bill Ab Screen Ads Reference,$105.00
BB Bill Ab Screen Rare Reference,$143.00
BB Bill Ab Screen Reference,$105.00
BB Bill Abo Typing Reference,$106.00
BB Bill Absorbed Ag Neg Refernce,$33.00
BB Bill Absorbed Untyped Referenc,$185.00
BB Bill Absorption Reference,$306.00
BB Bill Ag Type Adsorbing Cells,$216.00
BB Bill Antibody Titration Ref,$221.00
BB Bill Antigen Type Pt Reference,$216.00
BB Bill Antigen Type Reference,$216.00
BB Bill Auto Ab Id Reference,$36.00
BB Bill Cell Sep Hypotonic Ref,$343.00
BB Bill Cold Ab Titer Reference,$221.00
BB Bill Com Serologic Pan Referen,$247.00
BB Bill Dat Poly Reference,$33.00
BB Bill Dilution Reference,$187.00
BB Bill Ega Treatment Reference,$126.00
BB Bill Elution Reference,$158.00
BB Bill Grad Sep Reference,$378.00
BB Bill Iat Reference,$130.00
BB Bill Inhibition Reference,$158.00
BB Bill Neat Ag Neg Reference,$33.00
BB Bill Neat Untyped Reference,$185.00
BB Bill Pre Warm Reference,$46.00
BB Bill Pretreat Adsorbing Cells,$216.00
BB Bill Pretreat Chem Drug Refere,$181.00
BB Bill Pretreat With Drugs Refer,$107.00
BB Bill Pretreatment Reference,$216.00
BB Bill Red Cell Exchange,"$3,002.35"
BB Bill Rh Phenotyping Reference,$309.00
BB Bill Rh Type Reference,$32.00
BB Bill Saline Rplmt Reference,$46.00
BB Bill Serologic Panel Reference,$216.00
BB Bill Super Dat Reference,$196.00
BB Bill Thaw Reference,$21.00
Bcr Abl Major Break Point,$351.00
Bcr Abl Major P210 Quant,$351.00
Bcr Abl Minor Point Break,$351.00
Bcr Abl Qunat Analysis Csi,$385.00
Belladonna Alk-Pb 10mL Elix(Donnata,$155.00
Belladonna Alk-Pb 5mL Elix(Donnato,$290.45
Belladonna Alk-Pb Elix(Donnatal),$25.55
Belladonna Alk-Pb T(Donnatal),$66.05
Bence Jones Protein Quant Ur,$39.00
Bendamustine 100mg I(Treanda),"$12,932.70"
Bendamustine 100mg/4mL Inj,"$13,026.85"
Benzocaine 10% Top Gel,$0.00
Benzocaine 20% Top Spray 0.5mL UD,$87.85
Benzocaine 20% Topical Spray,$38.50
Benzoin Compound Tinc Bulk 60mL,$37.95
Benzonatate 100mg C(Tessalon),$17.70
Benztropine 0.5mg T(Cogentin),$10.00
Benztropine 1mg T(Cogentin),$10.00
Benztropine 2mg T(Cogentin),$10.00
Beta 2 Microglobulin Blood,$121.00
Beta 2 Trasnferrin,$168.00
Beta D Glucan,$182.00
Beta Hydroxybutyrate,$131.00
Beta Lactamase,$54.00
Beta Strep A Screen,$81.00
Beta Strep Culture,$88.00
Betamethasone 6mg/mL 5mL I(Celeston,$308.00
Betamethasone Dipr 0.05%  TC 15g,$361.20
Betamethasone Dipr 0.05% 60mL TL,$330.75
Betamethasone Dipr 0.05% TO 15g,$413.85
Betamethasone Val. 0.1% 15g TC,$199.10
Betaxolol 0.5% Ophth Soln 10mL,$747.95
Bethanechol 10mg T(Urecholine),$14.20
Bethanechol 25mg T(Urecholine),$18.90
Bevacizumab 100mg Inj,"$3,754.40"
Bevacizumab 400mg Inj,"$14,456.70"
Bhcg Poc,$142.00
Bhcg Quantitative,$142.00
Bicalutamide 50 mg T(Casodex),$10.00
Biceps Repair,"$3,762.50"
Bilat Extremity Upper Or Lower,"$5,392.00"
Bile Acids Fract And Total,$200.00
Bile Fluid Analysis,$93.00
Biliary Stent Cotton Leung,$679.50
Biliary Stent Cotton Leung,$715.50
Bilirubin Direct,$94.00
Bilirubin Total,$94.00
Bilirubin Total Fluid,$126.00
Bill Touch Prep Addl,$143.00
Bill Touch Prep Frozen Section,$175.00
Bill Ua Plus Mc,$68.00
Bio Pushlock,"$1,880.00"
Bio Swivelock,"$1,940.00"
Bio Transfix,"$2,036.00"
Bio Transfix,"$1,596.00"
Biochemical Other,$134.00
Biochemical Yeast,$38.00
Bioconvex Patella,"$7,665.00"
Biopsy,"$1,925.00"
